IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",1,"1950",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19757321.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",2,"1951",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19868990
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",3,"1952",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20229879.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",4,"1953",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20775325
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",5,"1954",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21415573
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",6,"1955",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22125102.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",7,"1956",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22874434
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",8,"1957",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",23660791.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",9,"1958",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",24473927
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",10,"1959",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25298233
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",11,"1960",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26115379.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",12,"1961",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26852951
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",13,"1962",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",27509237
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",410,"Republic of Korea","KR","KOR",14,"1963",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",28145540
