"성별(1)","특성별(1)",특성별(2),2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차
"전체","전체",19세이상,2455,6.1,0.6
"전체","전체",19세이상(표준화),2455,6.3,0.6
"전체","연령별1",19-29세,297,4.7,1.2
"전체","연령별1",30-39세,389,8.9,1.5
"전체","연령별1",40-49세,480,8.5,1.5
"전체","연령별1",50-59세,490,4.0,0.9
"전체","연령별1",60-69세,501,5.5,1.1
"전체","연령별1",70세이상,298,1.7,0.7
"전체","연령별2",19-64세,1931,6.4,0.6
"전체","연령별2",65세이상,524,3.6,0.9
"전체","거주지역별",동,1930,6.1,0.6
"전체","거주지역별",읍면,525,5.7,1.3
"전체","소득수준별",하,363,8.1,1.7
"전체","소득수준별",중하,469,5.7,1.1
"전체","소득수준별",중,508,6.1,1.2
"전체","소득수준별",중상,580,6.0,1.1
"전체","소득수준별",상,535,5.1,1.2
"전체","거주지역(표준화)별",동,1930,6.3,0.7
"전체","거주지역(표준화)별",읍면,525,7.8,1.9
"전체","소득수준(표준화)별",하,363,8.8,1.8
"전체","소득수준(표준화)별",중하,469,5.6,1.1
"전체","소득수준(표준화)별",중,508,5.9,1.3
"전체","소득수준(표준화)별",중상,580,6.2,1.2
"전체","소득수준(표준화)별",상,535,5.7,1.4
"남자","전체",19세이상,1027,8.1,0.9
"남자","전체",19세이상(표준화),1027,8.6,1.1
"남자","연령별1",19-29세,95,7.7,2.6
"남자","연령별1",30-39세,182,12.1,2.3
"남자","연령별1",40-49세,189,12.4,2.6
"남자","연령별1",50-59세,204,4.0,1.2
"남자","연령별1",60-69세,230,5.3,1.6
"남자","연령별1",70세이상,127,1.0,0.7
"남자","연령별2",19-64세,783,8.7,1.1
"남자","연령별2",65세이상,244,3.6,1.5
"남자","거주지역별",동,789,8.4,1.0
"남자","거주지역별",읍면,238,6.7,2.1
"남자","소득수준별",하,140,10.6,3.2
"남자","소득수준별",중하,189,8.6,2.0
"남자","소득수준별",중,211,7.6,2.0
"남자","소득수준별",중상,247,7.5,1.8
"남자","소득수준별",상,240,7.1,2.1
"남자","거주지역(표준화)별",동,789,8.7,1.2
"남자","거주지역(표준화)별",읍면,238,-,-
"남자","소득수준(표준화)별",하,140,-,-
"남자","소득수준(표준화)별",중하,189,8.2,1.9
"남자","소득수준(표준화)별",중,211,-,-
"남자","소득수준(표준화)별",중상,247,8.2,2.2
"남자","소득수준(표준화)별",상,240,8.9,2.7
"여자","전체",19세이상,1428,4.2,0.5
"여자","전체",19세이상(표준화),1428,4.2,0.6
"여자","연령별1",19-29세,202,2.8,1.1
"여자","연령별1",30-39세,207,5.0,1.4
"여자","연령별1",40-49세,291,4.8,1.3
"여자","연령별1",50-59세,286,3.9,1.3
"여자","연령별1",60-69세,271,5.8,1.5
"여자","연령별1",70세이상,171,2.1,1.1
"여자","연령별2",19-64세,1148,4.3,0.6
"여자","연령별2",65세이상,280,3.6,1.2
"여자","거주지역별",동,1141,4.1,0.6
"여자","거주지역별",읍면,287,4.6,1.2
"여자","소득수준별",하,223,6.1,1.5
"여자","소득수준별",중하,280,3.1,0.9
"여자","소득수준별",중,297,4.6,1.3
"여자","소득수준별",중상,333,4.5,1.2
"여자","소득수준별",상,295,3.0,1.1
"여자","거주지역(표준화)별",동,1141,4.0,0.6
"여자","거주지역(표준화)별",읍면,287,-,-
"여자","소득수준(표준화)별",하,223,6.8,1.9
"여자","소득수준(표준화)별",중하,280,2.7,0.9
"여자","소득수준(표준화)별",중,297,4.4,1.3
"여자","소득수준(표준화)별",중상,333,4.3,1.2
"여자","소득수준(표준화)별",상,295,3.2,1.2
